name,prompt,negative_prompt
Abstract Art,"Abstract Art, Wassily Kandinsky, Piet Mondrian, Mark Rothko, Jackson Pollock, ",
Abstract Expressionism,"Abstract Expressionism, Jackson Pollock, Willem de Kooning, Mark Rothko, Lee Krasner, ",
Abstract Figurative,"Abstract Figurative, Piet Mondrian, Vasily Kandinsky, Jackson Pollock, Anges Martin, ",
American Impressionism,"American Impressionism, Mary Cassatt, Childe Hassam, John Singer Sargent, William Merritt Chase, ",
American Scene Painting,"American Scene Painting, Grant Wood, Thomas Hart Benton, Edward Hopper, Thomas Cole, ",
Analytical Cubism,"Analytical Cubism, Pablo Picasso, Juan Gris, Georges Braque, Fernand Léger, ",
Art Brut,"Art Brut, Jean Dubuffet, Adolf Wölfli, Aloïse Corbaz, Henry Darger, ",
Art Deco,"Art Deco, Tamara de Lempicka, René Lalique, Erté, Émile-Jacques Ruhlmann, ",
Art Nouveau,"Art Nouveau, Alphonse Mucha, Gustav Klimt, Louis Comfort Tiffany, Aubrey Beardsley, ",
Ashcan School,"Ashcan School, Robert Henri, George Bellows, John Sloan, George Luks, ",
Baroque,"Baroque, Peter Paul Rubens, Caravaggio, Gian Lorenzo Bernini, Rembrandt Van Rijn, ",
Bauhaus,"Bauhaus, Josef Albers, Paul Klee, Wassily Kandinsky, Oskar Schlemmer, ",
Bengal School of Art,"Bengal School of Art, Abanindranath Tagore, Nandalal Bose, Asit Kumar Haldar, Jamini Roy, ",
Byzantine Art,"Byzantine Art, Andrei Rublev, Artists of Hagia Sophia, Theodore the Studite, Saint Luke, ",
Chiaroscuro,"Chiaroscuro, Caravaggio, Rembrandt van Rijn, Diego Velázquez, Artemisia Gentileschi, ",
Classicism,"Classicism, Jacques-Louis David, Eugène Delacroix, Jean Auguste Dominique Ingres, Caravaggio, ",
CoBrA,"CoBrA, Asger Jorn, Karel Appel, Pierre Alechinsky, Constant Nieuwenhuys, ",
Color Field Painting,"Color Field Painting, Mark Rothko, Helen Frankenthaler, Clyfford Still, Morris Louis, ",
Conceptual Art,"Conceptual Art, Sol LeWitt, Joseph Kosuth, John Baldessari, Marcel Duchamp, ",
Constructivism,"Constructivism, El Lissitzky, Alexander Rodchenko, Kazimir Malevich, Vladimir Tatlin, ",
Contemporary,"Contemporary, Jeff Koons, Yayoi Kusama, Anselm Kiefer, Kara Walker, ",
Cubism,"Cubism, Pablo Picasso, Georges Braque, Juan Gris, Fernand Léger, ",
Dada,"Dada, Marcel Duchamp, Man Ray, Hannah Höch, Jean Arp, ",
De Stijl,"De Stijl, Piet Mondrian, Theo van Doesburg, Gerrit Rietveld, Bart van der Leck, ",
Digital Art,"Digital Art, Laurence Gartel, Cory Arcangel, Ryoji Ikeda, Refik Anadol, ",
Dutch Golden Age,"Dutch Golden Age, Rembrandt Harmenszoon van Rijn, Jan Vermeer, Frans Hals, Lucien Freud, ",
Environmental Art,"Environmental Art, Andy Goldsworthy, Agnes Denes, Olafur Eliasson, Robert Smithson, ",
Expressionism,"Expressionism, Jackson Pollock, Willem de Kooning, Ernst Ludwig Kirchner, Wassily Kandinsky, ",
Fauvism,"Fauvism, Henri Matisse, André Derain, Maurice de Vlaminck, Georges Braque, ",
Figurative Art,"Figurative Art, Lucian Freud, Francis Bacon, Alice Neel, Jenny Saville, ",
Flemish Baroque,"Flemish Baroque, Peter Paul Rubens, Anthony van Dyck, Jacob Jordaens, Jan Brueghel the Elder, ",
Folk Art,"Folk Art, Grandma Moses, Clementine Hunter, Howard Finster, Bill Traylor, ",
Futurism,"Futurism, Umberto Boccioni, Giacomo Balla, Carlo Carrà, Filippo Tommaso Marinetti, ",
Gothic,"Gothic, Mastro Guglielmo, Maestro Esiguo, Master of the Franciscan Crucifixes, Benedetto Antelami, ",
Gothic Revival,"Gothic Revival, Augustus Pugin, Antoni Gaudí, James Wyatt, Sir Charles Barry, ",
Graffiti,"Graffiti, Lady Pink, Banksy, Shepard Fairey, Keith Haring, ",
Hard-edge Painting,"Hard-edge Painting, Ellsworth Kelly, Frank Stella, John McLaughlin, Karl Benjamin, ",
Hellenistic Art,"Hellenistic Art, Winged Victory of Samothrace, Barberini Faun, Dying Gaul, Apelles, ",
Hindu Art,"Hindu Art, Raja Ravi Varma, Nandalal Bose, Abanindranath Tagore, Amrita Sher-Gil, ",
Hudson River School,"Hudson River School, Thomas Cole, Frederic Edwin Church, Albert Bierstadt, Asher B. Durand, ",
Impressionism,"Impressionism, Claude Monet, Pierre-Auguste Renoir, Edgar Degas, Paul Cézanne, ",
Installation Art,"Installation Art, Yayoi Kusama, Olafur Eliasson, Doris Salcedo, Judy Chicago, ",
Islamic Art,"Islamic Art, Abdur Rahman Chughtai, Ismail Gulgee, Sadequain, Baseera Khan, ",
Kinetic Art,"Kinetic Art, Alexander Calder, Jackson Pollock, Jean Tinguely, Naum Gabo, ",
Les Nabis,"Les Nabis, Pierre Bonnard, Édouard Vuillard, Maurice Denis, Paul Sérusier, ",
Magic Realism,"Magic Realism, René Magritte, Frida Kahlo, Carel Willink, George Tooker, ",
Mail Art,"Mail Art, Ray Johnson, Anna Banana, Genesis P-Orridge, Robert Watts, ",
Mannerism,"Mannerism, Francesco Mazzola, Agnolo di Cosimo, Jean Boulogne, Jacopo Comin, ",
Medieval Art,"Medieval Art, Giotto, Cimabue, Nicola Pisano, Nicholas of Verdun, ",
Metaphysical Art,"Metaphysical Art, Giorgio de Chirico, Carlo Carrà, Max Ernst, Giorgio Morandi, ",
Minimalism,"Minimalism, Donald Judd, Frank Stella, Sol LeWitt, Carl Andre, ",
Mughal Art,"Mughal Art, Ustad Mansur, Bichitr, Govardhan, Abu'l Hasan, ",
Naive Art,"Naive Art, Henri Rousseau, Ivan Generalić, Grandma Moses, Alfred Wallis, ",
Neoclassicism,"Neoclassicism, Jacques-Louis David, Jean Auguste Dominique Ingres, Angelica Kauffman, Antonio Canova, ",
Neo-Impressionism,"Neo-Impressionism, Georges Seurat, Paul Signac, Camille Pissarro, Henri-Edmond Cross, ",
New Objectivity,"New Objectivity, Max Beckmann, Otto Dix, George Grosz, Alexander Kanoldt, ",
Northern Renaissance,"Northern Renaissance, Albrecht Dürer, Hans Holbein the Younger, Pieter Bruegel the Elder, Hieronymus Bosch, ",
Op Art,"Op Art, Victor Vasarely, Bridget Riley, Richard Anuszkiewicz, Jesús Rafael Soto, ",
Orphism,"Orphism, Robert Delaunay, Sonia Delaunay, František Kupka, Albert Gleizes, ",
Photorealism,"Photorealism, Richard Estes, Chuck Close, Ralph Goings, Audrey Flack, ",
Pointillism,"Pointillism, Georges Seurat, Paul Signac, Henri-Edmond Cross, Camille Pissarro, ",
Pop Art,"Pop Art, Andy Warhol, Roy Lichtenstein, David Hockney, Richard Hamilton, ",
Post-Impressionism,"Post-Impressionism, Paul Cézanne, Paul Gauguin, Claude Monet, Georges Seurat, ",
Post-Minimalism,"Post-Minimalism, Richard Serra, Eva Hesse, Sol LeWitt, Bruce Nauman, ",
Postmodernism,"Postmodernism, Cindy Sherman, Jean-Michel Basquiat, Barbara Kruger, Jeff Koons, ",
Precisionism,"Precisionism, Charles Demuth, Charles Sheeler, Georgia O'Keeffe, George Ault, ",
Pre-Raphaelite Brotherhood,"Pre-Raphaelite Brotherhood, Dante Gabriel Rossetti, John Everett Millais, William Holman Hunt, Edward Burne-Jones, ",
Primitivism,"Primitivism, Paul Gauguin, Henri Rousseau, Pablo Picasso, Marc Chagall, ",
Proto-Renaissance,"Proto-Renaissance, Cimabue, Giotto di Bondone, Duccio di Buoninsegna, Simone Martini, ",
Realism,"Realism, Gustave Courbet, Jean-François Millet, Edward Hopper, Thomas Eakins, ",
Renaissance,"Renaissance, Raphael, Leonardo da Vinci, Sandro Botticelli, Albrecht Dürer, ",
Rococo,"Rococo, Jean-Antoine Watteau, Jean-Honoré Fragonard, François Boucher, Giovanni Battista Tiepolo, ",
Romanticism,"Romanticism, Eugène Delacroix, Caspar David Friedrich, Joseph Mallord William Turner, Théodore Géricault, ",
Sgraffito,"Sgraffito, Becky Lloyd, Lex Horn, Tony Da, Michael Janis, ",
Sienese School,"Sienese School, Duccio di Buoninsegna, Simone Martini, Ambrogio Lorenzetti, Pietro Lorenzetti, ",
Social Realism,"Social Realism, Ben Shahn, Gustave Courbet, Edward Hopper, Diego Rivera, ",
Socialist Realism,"Socialist Realism, Alexander Gerasimov, Vera Mukhina, Sergei Gerasimov, Arkady Plastov, ",
Southern Renaissance,"Southern Renaissance, Raffaello Sanzio, Leonardo da Vinci, Michelangelo, Sandro Botticelli, ",
Street Art,"Street Art, Banksy, Shepard Fairey, Keith Haring, Invader, ",
Superflat,"Superflat, Takashi Murakami, Yoshitomo Nara, Chiho Aoshima, Mr., ",
Suprematism,"Suprematism, Kazimir Malevich, El Lissitzky, White on White, Olga Rozanova, ",
Surrealism,"Surrealism, Salvador Dalí, René Magritte, Max Ernst, Joan Miró, ",
Symbolism,"Symbolism, Odilon Redon, Gustave Moreau, Edvard Munch, Gustav Klimt, ",
Synthetic Cubism,"Synthetic Cubism, Pablo Picasso, Jean Metzinger, Marcel Duchamp, Albert Gleizes, ",
Tonalism,"Tonalism, James Abbott McNeill Whistler, George Inness, Albert Pinkham Ryder, Ralph Albert Blakelock, ",
Trompe-l'oeil,"Trompe-l'oeil, William Michael Harnett, John F. Peto, Evert Collier, Cornelis Norbertus Gysbrechts, ",
Ukiyo-e,"Ukiyo-e, Hishikawa Moronobu, Kitagawa Utamaro, Katsushika Hokusai, Utagawa Hiroshige, ",
Victorian Art,"Victorian Art, Sir Lawrence Alma-Tadema, John William Waterhouse, Dante Gabriel Rossetti, John Everett Millais, ",
