name,prompt,negative_prompt
Acolyte,"Acolyte, ",
Acrobat,"Acrobat, ",
Apothecary,"Apothecary, ",
Artificer,"Artificer, ",
Artisan,"Artisan, ",
Barbarian,"Barbarian, ",
Bard,"Bard, ",
Bardic Sage,"Bardic Sage, ",
Blood Hunter,"Blood Hunter, ",
Bounty Hunter,"Bounty Hunter, ",
Cavalier,"Cavalier, ",
Champion,"Champion, ",
Charlatan,"Charlatan, ",
City Watch,"City Watch, ",
Cleric,"Cleric, ",
Clown,"Clown, ",
Druid,"Druid, ",
Duelist,"Duelist, ",
Elemental Shaman,"Elemental Shaman, ",
Executioner,"Executioner, ",
Exorcist,"Exorcist, ",
Explorer,"Explorer, ",
Fey-Touched,"Fey-Touched, ",
Fighter,"Fighter, ",
Geomancer,"Geomancer, ",
Gladiator,"Gladiator, ",
Guild Artisan,"Guild Artisan, ",
Hermit,"Hermit, ",
Knight,"Knight, ",
Monk,"Monk, ",
Mystic,"Mystic, ",
Noble,"Noble, ",
Outlander,"Outlander, ",
Paladin,"Paladin, ",
Pirate,"Pirate, ",
Pirate,"Pirate, ",
Pirate,"Pirate, ",
Ranger,"Ranger, ",
Rogue,"Rogue, ",
Runescribe,"Runescribe, ",
Sage,"Sage, ",
Sailor,"Sailor, ",
Shaman,"Shaman, ",
Soldier,"Soldier, ",
Sorcerer,"Sorcerer, ",
Urchin,"Urchin, ",
Warden,"Warden, ",
Warlock,"Warlock, ",
Warlord,"Warlord, ",
Wizard,"Wizard, ",
