name,prompt,negative_prompt
Beauty Shot,"Beauty Shot, ",
Bird's Eye View,"Bird's Eye View, ",
Black and White Portrait,"Black and White Portrait, ",
Candid Shot,"Candid Shot, ",
Close-Up,"Close-Up, ",
Double Exposure Portrait,"Double Exposure Portrait, ",
Environmental Portrait,"Environmental Portrait, ",
Extreme Close-Up,"Extreme Close-Up, ",
Eye Level,"Eye Level, ",
Framed Portrait,"Framed Portrait, ",
Frontal,"Frontal, ",
Full Shot,"Full Shot, ",
Group Shot,"Group Shot, ",
Headshot,"Headshot, ",
High Angle,"High Angle, ",
High-Key Portrait,"High-Key Portrait, ",
Infrared Portrait,"Infrared Portrait, ",
Low Angle,"Low Angle, ",
Micro,"Micro, ",
Macro,"Macro, ",
Medium Close-Up,"Medium Close-Up, ",
Medium Shot,"Medium Shot, ",
Motion Blur Portrait,"Motion Blur Portrait, ",
Multiple Exposure Portrait,"Multiple Exposure Portrait, ",
Narrative Portrait,"Narrative Portrait, ",
Outdoor Portrait,"Outdoor Portrait, ",
Over-the-Shoulder,"Over-the-Shoulder, ",
Profile,"Profile, ",
Reflection Portrait,"Reflection Portrait, ",
Selective Color Portrait,"Selective Color Portrait, ",
Sepia Tone Portrait,"Sepia Tone Portrait, ",
Shadow Portrait,"Shadow Portrait, ",
Silhouette,"Silhouette, ",
Split Tone Portrait,"Split Tone Portrait, ",
Studio Portrait,"Studio Portrait, ",
Surreal Portrait,"Surreal Portrait, ",
Three-Quarter View,"Three-Quarter View, ",
Two-Shot,"Two-Shot, ",
Wide Shot,"Wide Shot, ",
Worm's Eye View,"Worm's Eye View, ",
