name,prompt,negative_prompt
Advanced Alien Civilization,"Advanced Alien Civilization, ",
Age of Exploration,"Age of Exploration, ",
AI Uprising,"AI Uprising, ",
AI-Powered Society,"AI-Powered Society, ",
Alien Invasion,"Alien Invasion, ",
Alternate Dimensions,"Alternate Dimensions, ",
Alternate History,"Alternate History, ",
Alternate Identity,"Alternate Identity, ",
Alternate Realities Collide,"Alternate Realities Collide, ",
Ancient Civilization,"Ancient Civilization, ",
Ancient Curse,"Ancient Curse, ",
Ancient Gods,"Ancient Gods, ",
Ancient Prophecy,"Ancient Prophecy, ",
Apocalyptic Earth,"Apocalyptic Earth, ",
Arctic,"Arctic, ",
Artificial Intelligence,"Artificial Intelligence, ",
Astral Plane,"Astral Plane, ",
Biopunk,"Biopunk, ",
City of Tomorrow,"City of Tomorrow, ",
City Under Siege,"City Under Siege, ",
Cosmic Horror,"Cosmic Horror, ",
Cyber Warfare,"Cyber Warfare, ",
Cybernetic Augmentation,"Cybernetic Augmentation, ",
Cyberpunk,"Cyberpunk, ",
Desert,"Desert, ",
Detective Noir,"Detective Noir, ",
Dinosaur Era,"Dinosaur Era, ",
Dream Within a Dream,"Dream Within a Dream, ",
Dream World,"Dream World, ",
Dystopian,"Dystopian, ",
Espionage,"Espionage, ",
Fairytale,"Fairytale, ",
Fantasy,"Fantasy, ",
Forgotten Technology,"Forgotten Technology, ",
Future Dystopia,"Future Dystopia, ",
Future War,"Future War, ",
Futuristic,"Futuristic, ",
Futuristic Sports,"Futuristic Sports, ",
Galactic Conflict,"Galactic Conflict, ",
Galactic Empire,"Galactic Empire, ",
Genetic Engineering,"Genetic Engineering, ",
Genetic Mutation,"Genetic Mutation, ",
Gothic,"Gothic, ",
Haunted Mansion,"Haunted Mansion, ",
Hidden Alien Species,"Hidden Alien Species, ",
Hidden Sanctuary,"Hidden Sanctuary, ",
Historical,"Historical, ",
Holographic Reality,"Holographic Reality, ",
Interdimensional Travel,"Interdimensional Travel, ",
Jungle,"Jungle, ",
Lost Civilization,"Lost Civilization, ",
Lost in Space,"Lost in Space, ",
Lost in Time,"Lost in Time, ",
Lunar Colony,"Lunar Colony, ",
Magical Realism,"Magical Realism, ",
Magical School,"Magical School, ",
Mechanical World,"Mechanical World, ",
Medieval,"Medieval, ",
Mind Upload,"Mind Upload, ",
Modern,"Modern, ",
Mythical Artifacts,"Mythical Artifacts, ",
Mythical Beasts,"Mythical Beasts, ",
Mythological,"Mythological, ",
Nature Reclaiming Civilization,"Nature Reclaiming Civilization, ",
Navigating the Multiverse,"Navigating the Multiverse, ",
Ocean Exploration,"Ocean Exploration, ",
Parallel Histories,"Parallel Histories, ",
Parallel Universe,"Parallel Universe, ",
Pirate Adventure,"Pirate Adventure, ",
Planetary Exploration,"Planetary Exploration, ",
Post-apocalyptic,"Post-apocalyptic, ",
Robot Uprising,"Robot Uprising, ",
Robotic Society,"Robotic Society, ",
Robotic Utopia,"Robotic Utopia, ",
Sci-fi,"Sci-fi, ",
Space,"Space, ",
Space Anomaly,"Space Anomaly, ",
Space Colonization,"Space Colonization, ",
Space Opera,"Space Opera, ",
Space Rebellion,"Space Rebellion, ",
Space Travelers,"Space Travelers, ",
Space Western,"Space Western, ",
Steampunk,"Steampunk, ",
Superhero,"Superhero, ",
Supernatural Mystery,"Supernatural Mystery, ",
Surreal,"Surreal, ",
Time Crime,"Time Crime, ",
Time Loop,"Time Loop, ",
Time Paradox,"Time Paradox, ",
Time Travel,"Time Travel, ",
Transhumanism,"Transhumanism, ",
Underwater,"Underwater, ",
Urban,"Urban, ",
Utopian Society,"Utopian Society, ",
Victorian,"Victorian, ",
Virtual Conspiracy,"Virtual Conspiracy, ",
Virtual Paradise,"Virtual Paradise, ",
Virtual Reality,"Virtual Reality, ",
Wild Animal Kingdom,"Wild Animal Kingdom, ",
Wild West,"Wild West, ",
