name,prompt,negative_prompt
Abstract landscapes,"Abstract landscapes, ",
Abstract portraiture,"Abstract portraiture, ",
Abstract still life,"Abstract still life, ",
Acrylic painting,"Acrylic painting, ",
Anime,"Anime, ",
Architectural design,"Architectural design, ",
Assemblage art,"Assemblage art, ",
Augmented reality art,"Augmented reality art, ",
Batik,"Batik, ",
Body painting,"Body painting, ",
Botanical art,"Botanical art, ",
Bronze casting,"Bronze casting, ",
Ceramic pottery,"Ceramic pottery, ",
Ceramics and pottery,"Ceramics and pottery, ",
Charcoal drawing,"Charcoal drawing, ",
Collage,"Collage, ",
Colored pencil drawing,"Colored pencil drawing, ",
Digital painting,"Digital painting, ",
Digital sculpture,"Digital sculpture, ",
Embroidery,"Embroidery, ",
Environmental sculpture,"Environmental sculpture, ",
Etching,"Etching, ",
Fashion design,"Fashion design, ",
Fiber art,"Fiber art, ",
Film and video art,"Film and video art, ",
Found object art,"Found object art, ",
Glassblowing,"Glassblowing, ",
Gouache painting,"Gouache painting, ",
Graffiti art,"Graffiti art, ",
Graphite drawing,"Graphite drawing, ",
Hyperrealism,"Hyperrealism, ",
Industrial design,"Industrial design, ",
Interactive art,"Interactive art, ",
Interior design,"Interior design, ",
Jewelry design,"Jewelry design, ",
Land art,"Land art, ",
Landscapes,"Landscapes, ",
Light art,"Light art, ",
Linocut,"Linocut, ",
Lithography,"Lithography, ",
Metalworking,"Metalworking, ",
Mixed media,"Mixed media, ",
Monotype,"Monotype, ",
Mosaic,"Mosaic, ",
Neo-Expressionism,"Neo-Expressionism, ",
Neue Sachlichkeit (New Objectivity),"Neue Sachlichkeit (New Objectivity), ",
Oil painting,"Oil painting, ",
Pastel painting,"Pastel painting, ",
Pen and ink drawing,"Pen and ink drawing, ",
Performance art,"Performance art, ",
Performance painting,"Performance painting, ",
Photography,"Photography, ",
Portraiture,"Portraiture, ",
Printmaking,"Printmaking, ",
Renaissance art,"Renaissance art, ",
Screen printing,"Screen printing, ",
Sculpture,"Sculpture, ",
Seascape,"Seascape, ",
Stained glass,"Stained glass, ",
Still life,"Still life, ",
Stone carving,"Stone carving, ",
Tapestry,"Tapestry, ",
Textile design,"Textile design, ",
Textile sculpture,"Textile sculpture, ",
Video art,"Video art, ",
Virtual reality art,"Virtual reality art, ",
Watercolor,"Watercolor, ",
Weaving,"Weaving, ",
Wildlife art,"Wildlife art, ",
Wood carving,"Wood carving, ",
Woodcut,"Woodcut, ",
